"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2018/05/06","6","46.5","63.5","79.8","47.3","60.9","60.7","55.4","57.5","NA","NA","0.00","22.86","0.20","0.26"
"2018/05/07","7","53.2","61.1","70.4","54.1","78.8","61.1","57.7","58.9","NA","NA","0.00","13.19","0.11","0.13"
"2018/05/08","8","49.5","62.6","77.5","52.3","72.8","62.3","57.1","59.1","NA","NA","0.00","21.72","0.15","0.18"
"2018/05/09","9","46.6","58.5","65.2","53.8","84.9","60.9","58.7","59.5","NA","NA","0.25","7.86","0.06","0.07"
"2018/05/10","10","41.9","50.6","58.9","45.4","83.5","58.0","56.2","57.4","NA","NA","0.14","14.03","0.08","0.10"
"2018/05/11","11","45.9","54.2","68.0","48.0","81.4","59.8","55.6","57.2","NA","NA","0.06","20.89","0.14","0.16"
"2018/05/12","12","40.6","58.8","76.9","43.5","63.9","60.0","55.3","57.4","NA","NA","0.00","28.20","0.21","0.28"
"2018/05/13","13","45.3","64.7","83.4","45.8","55.2","61.5","56.0","57.9","NA","NA","0.00","25.03","0.21","0.28"
"2018/05/14","14","44.3","65.2","84.1","47.8","59.6","63.4","57.4","59.6","NA","NA","0.00","27.20","0.20","0.24"
"2018/05/15","15","46.9","65.8","85.5","48.7","59.6","64.2","58.4","60.5","NA","NA","0.00","26.51","0.21","0.26"
"2018/05/16","16","47.6","65.0","80.5","51.6","64.8","64.4","59.1","61.4","NA","NA","0.00","23.92","0.19","0.23"
"2018/05/17","17","55.8","59.7","70.3","55.7","86.8","62.7","60.9","61.7","NA","NA","0.44","8.02","0.08","0.10"
"2018/05/18","18","53.3","58.1","65.1","52.2","81.8","61.0","58.8","59.7","NA","NA","0.25","10.29","0.09","0.11"
"2018/05/19","19","49.0","58.0","68.3","48.3","72.0","61.0","58.5","59.5","NA","NA","0.00","14.90","0.12","0.14"
"2018/05/20","20","42.9","60.2","76.1","48.7","69.7","62.0","57.0","59.2","NA","NA","0.00","24.57","0.17","0.20"
"2018/05/21","21","47.1","63.6","80.9","50.3","66.0","64.4","58.8","61.0","NA","NA","0.00","26.48","0.19","0.23"
"2018/05/22","22","47.6","65.8","84.7","50.3","62.5","65.8","59.6","62.0","NA","NA","0.00","28.79","0.22","0.27"
"2018/05/23","23","49.5","66.5","85.5","50.4","60.6","66.5","60.6","62.8","NA","NA","0.00","23.95","0.21","0.27"
"2018/05/24","24","55.8","68.3","82.0","54.6","64.8","66.8","62.5","64.1","NA","NA","0.00","21.43","0.19","0.23"
"2018/05/25","25","47.9","66.3","79.1","52.4","64.0","65.9","61.5","63.5","NA","NA","0.00","20.05","0.16","0.19"
"2018/05/26","26","52.3","65.0","78.8","47.7","56.6","66.8","62.3","64.1","NA","NA","0.00","25.99","0.21","0.26"
"2018/05/27","27","44.1","62.1","77.6","47.7","63.0","66.0","61.1","63.6","NA","NA","0.00","28.92","0.20","0.24"
"2018/05/28","28","46.8","65.4","83.6","48.5","60.2","66.7","61.5","63.9","NA","NA","0.00","28.47","0.22","0.28"
"2018/05/29","29","44.9","58.8","73.4","41.3","55.5","65.0","61.4","63.4","NA","NA","0.00","22.20","0.18","0.23"
"2018/05/30","30","38.7","54.9","68.9","39.3","59.4","64.0","60.0","62.1","NA","NA","0.00","24.94","0.16","0.19"
"2018/05/31","31","40.5","55.1","69.0","41.2","63.1","62.6","59.3","61.0","NA","NA","0.01","17.42","0.14","0.17"
"2018/06/01","1","44.9","53.8","67.4","45.7","76.8","61.1","59.5","60.5","NA","NA","0.08","13.87","0.11","0.14"
"2018/06/02","2","38.9","57.9","76.4","43.5","63.9","62.1","57.1","59.7","NA","NA","0.00","27.63","0.19","0.22"
"2018/06/03","3","42.4","64.9","82.7","46.6","57.5","64.3","58.7","61.3","NA","NA","0.00","25.63","0.20","0.25"
"2018/06/04","4","48.8","61.5","72.4","40.2","50.1","65.4","61.4","63.2","NA","NA","0.00","26.43","0.20","0.26"
"2018/06/05","5","37.9","57.0","72.2","37.4","53.6","63.7","59.7","62.1","NA","NA","0.00","28.29","0.19","0.23"
"2018/06/06","6","35.6","58.3","77.9","40.2","57.8","63.5","59.0","61.5","NA","NA","0.00","26.30","0.18","0.22"
"2018/06/07","7","42.0","63.1","84.2","45.3","58.9","64.7","59.5","61.8","NA","NA","0.00","25.94","0.20","0.24"
"2018/06/08","8","49.3","64.7","79.3","44.0","51.8","65.6","60.9","63.0","NA","NA","0.00","28.11","0.22","0.29"
"2018/06/09","9","49.9","55.6","61.4","50.7","84.0","62.8","61.6","62.7","NA","NA","0.18","6.92","0.06","0.07"
"2018/06/10","10","37.7","49.4","60.5","40.6","73.7","58.8","58.7","59.7","NA","NA","0.06","15.05","0.10","0.13"
"2018/06/11","11","31.8","49.9","66.5","38.1","68.1","57.7","55.3","57.5","NA","NA","0.00","22.46","0.14","0.17"
"2018/06/12","12","35.8","55.2","69.8","38.9","60.2","59.8","55.8","58.1","NA","NA","0.00","24.43","0.16","0.19"
"2018/06/13","13","46.7","60.8","74.6","43.6","57.0","61.5","58.3","59.8","NA","NA","0.00","16.53","0.15","0.20"
"2018/06/14","14","42.5","58.7","71.8","41.6","56.2","61.6","58.1","60.0","NA","NA","0.00","20.78","0.16","0.19"
"2018/06/15","15","43.0","57.2","73.5","45.2","67.8","62.0","58.7","60.5","NA","NA","0.00","20.83","0.16","0.20"
"2018/06/16","16","43.2","60.6","78.6","45.4","62.9","61.2","58.4","60.2","NA","NA","0.00","17.99","0.17","0.22"
"2018/06/17","17","45.6","65.8","82.0","43.2","51.9","64.6","59.5","61.7","NA","NA","0.00","25.52","0.23","0.30"
"2018/06/18","18","49.4","64.4","81.3","47.7","58.1","64.3","60.8","62.5","NA","NA","0.00","14.50","0.15","0.20"
"2018/06/19","19","49.6","67.8","83.9","50.8","59.9","66.8","61.1","63.1","NA","NA","0.00","24.55","0.19","0.23"
"2018/06/20","20","48.1","69.5","88.4","51.6","58.7","68.2","62.4","64.8","NA","NA","0.00","27.76","0.22","0.26"
"2018/06/21","21","53.0","66.0","79.8","56.6","72.8","67.6","64.1","65.6","NA","NA","0.03","15.55","0.14","0.17"
"2018/06/22","22","51.8","62.7","77.5","55.3","78.5","66.0","63.6","64.9","NA","NA","0.02","15.21","0.13","0.16"
"2018/06/23","23","48.6","63.0","80.0","52.7","72.9","65.8","62.1","63.8","NA","NA","0.00","20.80","0.16","0.18"
