"Date","Date","Min°F","Avg°F","Max°F","Avg1.5m DP°F","Avg1.5m RH%","2 in.°F","Min°F","Avg°F","Avg 2in.SWPkPa","Avg 8in.SWPkPa","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2022/06/03","3","55.5","60.3","69.0","56.5","88.0","62.6","58.3","59.0","NA","NA","0.60","13.61","0.10","0.12"
"2022/06/04","4","53.0","56.2","59.8","53.4","90.3","60.7","58.2","58.8","NA","NA","0.25","10.91","0.07","0.08"
"2022/06/05","5","46.7","54.3","67.0","51.8","91.8","59.6","57.1","58.0","NA","NA","0.53","14.04","0.10","0.11"
"2022/06/06","6","45.6","57.1","69.5","47.2","73.1","60.9","56.8","58.0","NA","NA","0.00","24.78","0.16","0.18"
"2022/06/07","7","40.4","58.7","74.4","47.0","69.3","61.9","56.7","58.2","NA","NA","0.00","27.49","0.17","0.19"
"2022/06/08","8","47.0","61.5","73.6","50.4","70.4","62.5","58.4","59.2","NA","NA","0.01","16.79","0.13","0.15"
"2022/06/09","9","43.8","54.2","65.1","49.0","83.5","58.9","57.6","58.4","NA","NA","0.16","9.88","0.08","0.09"
"2022/06/10","10","51.5","59.9","70.3","54.4","83.7","61.6","57.3","58.2","NA","NA","0.16","14.79","0.11","0.13"
"2022/06/11","11","51.8","63.1","74.8","51.7","69.8","63.5","58.7","59.5","NA","NA","0.00","22.01","0.16","0.19"
"2022/06/12","12","51.9","61.0","68.3","49.0","67.5","62.8","59.0","60.0","NA","NA","0.00","21.96","0.15","0.17"
"2022/06/13","13","48.7","50.7","55.9","49.0","93.8","58.8","57.7","58.8","NA","NA","1.09","7.10","0.05","0.06"
"2022/06/14","14","44.4","50.1","56.1","45.5","84.3","56.9","56.2","56.7","NA","NA","0.05","8.85","0.06","0.07"
"2022/06/15","15","38.7","55.2","69.1","46.1","74.5","58.4","54.9","56.2","NA","NA","0.00","24.84","0.15","0.17"
"2022/06/16","16","47.6","61.0","73.4","51.7","73.9","61.6","56.6","57.7","NA","NA","0.00","20.00","0.15","0.17"
"2022/06/17","17","54.3","62.1","71.5","52.2","70.9","61.1","58.3","59.0","NA","NA","0.01","14.53","0.13","0.17"
"2022/06/18","18","52.6","57.1","64.6","53.2","87.6","60.3","58.4","58.9","NA","NA","0.47","10.20","0.08","0.09"
